s,building_name,country_name
1000054b,Zisa Castle,Italy
1000781b,Buddenturm,Germany
100151800b,Weilburg Railroad Tunnel,Germany
1001583b,Budvar Arena,Czech Republic
1001643b,Florence–Rome high-speed railway,Italy
100166601b,516 Arouca,Portugal
1001929b,Buffalo Bill Dam,United States of America
1001988b,Buffalo City Hall,United States of America
100272163b,Pont de la Manda,France
100287554b,Reveston Tunnel,France
100287609b,Schermbeck A Viaduct,Germany
100287662b,Aberfeldy Footbridge,United Kingdom
100287874b,Barrios Tunnel,Spain
100287934b,Stone Bridge,Germany
100288026b,Henderson Road Bridge,Singapore
100288769b,Biogna Tunnel,France
100293283b,Britzer-Allee-Brücke,Germany
100293380b,Pont de Vianden,Luxembourg
100294398b,Big Soldier Creek Bridge,United States of America
100296429b,Taubentalsbach Viaduct,Germany
100296905b,Mangaweka Bridge,New Zealand
100297710b,Villieu Viaduct,France
100298149b,Urt Bridge,France
100298438b,Sutum Bridge,Germany
100299086b,Saint-Julien Canal Bridge,France
100299287b,Montfrin Bridge,France
100299710b,Ahsener Brücke,Germany
100299917b,Wolfsau Viaduct,Germany
100303173b,Grüne Brücke,Germany
100309486b,Setoko-Nipah Bridge,Indonesia
100309736b,Eisenbahnbrücke über die Apfelstädt,Germany
100309951b,Rugby Flyover,United Kingdom
100310390b,Pont de Pau,France
100311164b,Allerbrücke A7,Germany
100313325b,Marcillac Railroad Viaduct,France
100313462b,Tabac Gorge Viaduct,France
100313636b,North Fork Nehalem River Bridge,United States of America
100313757b,Cilcewydd Railway Bridge,United Kingdom
100314620b,Casamozza Railroad Bridge,France
100318819b,U.P.R.R. - Snake River Bridge,United States of America
100319133b,Cure Bridge,France
100320698b,Alfbach Viaduct,Germany
100320718b,CR 60 Tallapoosa River Bridge,United States of America
100320720b,Westtangenten Bridge at Kelheim,Germany
100320723b,Frodsham Bridge 5,United Kingdom
100320739b,Crewgreen Bridge,United Kingdom
100320761b,Diepmannsbach Bridge at Remscheid-Lennep,Germany
100320766b,Pont du Gour Noir,France
100320769b,Pont du Maire Kuss,France
100320770b,Estirac Bridge,France
100320780b,Poggenmühlenbrücke,Germany
100320870b,Baltschiederbrücke,Switzerland
100320955b,Saint-Jean-de-Fos Canal Bridge,France
100321833b,Ourense Viaduct,Spain
100321852b,Pont des Six-Liards,France
100323432b,Sigulda Bridge,Latvia
100323512b,Fontannes Tunnel,France
100323673b,Massoins Bridge,France
100323682b,Lamouroux Viaduct,France
100323716b,Pont Neuf,France
100325099b,Fawcett Road Bridge,United States of America
100325870b,Tapia de la Ribera Tower,Spain
100326067b,Gustave Eiffel Bridge,France
100326369b,Dry Gulch Bridge,United States of America
100326532b,Ferrara Railway Bridge,Italy
100326552b,Rush's Mill Bridge,United States of America
100326572b,Rethen Viaduct,Germany
100326592b,Swift River Bridge,United States of America
100326605b,Saint-Géry Bridge,France
100326654b,Huangbohe Bridge,People's Republic of China
100326670b,Elberon Avenue Bridge,United States of America
100327024b,Negley Bridge,United States of America
100332669b,Agua Fria Railroad Bridge,United States of America
100355215b,Lavoitobel Bridge,Switzerland
100371210b,Aqueduc de Jacourelle,France
1004331b,Cathedral of Funchal,Portugal
100537697b,Karolinenbrücke,Germany
1005878b,Qingdao railway station,People's Republic of China
100696259b,Neshanic Station Lenticular Truss Bridge,United States of America
100700993b,Pont de l'Arche de Noé,Canada
100716513b,Worcester Railway Bridge,United Kingdom
1007726b,Galleria Umberto I,Italy
100786471b,Indian Camp Covered Bridge,United States of America
100878014b,Stevenson Road Covered Bridge,United States of America
1009318b,Witbank Dam,South Africa
1009341b,Boskop Dam,South Africa
1010268b,Basilica of St. Sernin,France
101054169b,Pont de l'Orignal,Canada
101069198b,Alberto Lleras Dam,Colombia
101084958b,1270 Avenue of the Americas,United States of America
1010879b,Château d'Arques,France
101091693b,Pont de la Calamité,Canada
101094405b,Castillo de San Marcos,United States of America
101094890b,Orangery of Sceaux,France
